,0
SXRH GY,ROB
TIP5 SW,ROB
TI5G LN,ROB
OM3B GR,ROB
IDTP LN,ROB
ITPS LN,ROB
ITPS IM,ROB
IUST GY,ROB
TPSA NA,ROB
ITPS SW,ROB
ITPG LN,ROB
ITPG SW,ROB
IBC5 GY,ROB
ITPE SW,ROB
IBCI LN,ROB
IBCI IM,ROB
IBCI NA,ROB
IBCI SW,ROB
IBCI GY,ROB
IEGE IM,ROB
IBGE LN,ROB
IEGE NA,ROB
EUN6 GY,ROB
IEGE SW,ROB
IEGMX IX,ROB
IEGMX LN,ROB
IBGS IM,ROB
IBGS LN,ROB
IBGS NA,ROB
IBCA GY,ROB
IBGS SW,ROB
IBGX LN,ROB
IBGX IM,ROB
IBGX NA,ROB
IBCN GY,ROB
IBGX SW,ROB
IBGY IM,ROB
IBGY LN,ROB
IEGY NA,ROB
EUN9 GY,ROB
IEGY SW,ROB
IBGM LN,ROB
IBGM IM,ROB
IBGM NA,ROB
IBCM GY,ROB
IBGM SW,ROB
IBGZ IM,ROB
IEGZ NA,ROB
IBGZ LN,ROB
EUN8 GY,ROB
IEGZ SW,ROB
IBGL LN,ROB
IBGL IM,ROB
IBGL NA,ROB
IBCL GY,ROB
IBGL SW,ROB
IS05 GY,ROB
E20Y SW,ROB
SEGA LN,ROB
SEGA IM,ROB
IEGA NA,ROB
EUNH GY,ROB
IEGA SW,ROB
IFRB LN,ROB
IFRB NA,ROB
IS0K GR,ROB
SDEU LN,ROB
IS0L GY,ROB
IITB IM,ROB
IITB SW,ROB
IS0M GY,ROB
ITEH LN,ROB
EDMA GR,ROB
IESP SW,ROB
IS0P GY,ROB
SPEH LN,ROB
EUNQ GR,ROB
IB01 LN,ROB
IB01 CB,ROB
IB01 SW,ROB
IBC1 GR,ROB
IB1MXX IX,ROB
IBCC GY,ROB
IDBT LN,ROB
IBTS LN,ROB
IBTS IM,ROB
IBTS NA,ROB
IBTS SW,ROB
IUSU GY,ROB
IBTA LN,ROB
IBTA SW,ROB
IBTE LN,ROB
IBTE SW,ROB
IBTC SW,ROB
IBTG LN,ROB
IBTG SW,ROB
IBTMXX IX,ROB
IDTM LN,ROB
IBTM LN,ROB
IBTM IM,ROB
BTMA NA,ROB
IBTM SW,ROB
IUSM GY,ROB
IGTM LN,ROB
SLMF GR,ROB
IBB1 GR,ROB
IDTC SW,ROB
IDTL LN,ROB
IBTL LN,ROB
IDTL SW,ROB
